GEOID,NAME,medianIncomeE,medianIncomeM
11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",69063,8990
11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",16770,4556
11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",38659,7543
11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",141929,15857
11001001600,"Census Tract 16, District of Columbia, District of Columbia",175662,18541
11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",98523,12057
11001002600,"Census Tract 26, District of Columbia, District of Columbia",176979,32782
11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",133819,17041
11001005600,"Census Tract 56, District of Columbia, District of Columbia",79357,16304
11001004600,"Census Tract 46, District of Columbia, District of Columbia",117300,20328
11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",104952,8263
11001005900,"Census Tract 59, District of Columbia, District of Columbia",98750,21107
11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",28231,10777
11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",40161,10353
11001008100,"Census Tract 81, District of Columbia, District of Columbia",158021,25489
11001008200,"Census Tract 82, District of Columbia, District of Columbia",134391,12814
11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",167500,32824
11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",41783,13113
11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",91563,13235
11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",89808,18478
11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",73359,14203
11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",100625,32735
11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",62431,25732
11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",38542,21872
11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",205326,47839
11001000400,"Census Tract 4, District of Columbia, District of Columbia",140536,39542
11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",250001,NA
11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",215875,29845
11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",113385,29964
11001001200,"Census Tract 12, District of Columbia, District of Columbia",130844,20688
11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",64577,4584
11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",94667,18524
11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",84157,17280
11001002900,"Census Tract 29, District of Columbia, District of Columbia",116875,20769
11001003100,"Census Tract 31, District of Columbia, District of Columbia",116858,13208
11001003200,"Census Tract 32, District of Columbia, District of Columbia",113277,13702
11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",143750,23906
11001004300,"Census Tract 43, District of Columbia, District of Columbia",98578,25321
11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",90893,14342
11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",69666,12916
11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",66121,9588
11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",35000,15206
11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",152266,19013
11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",47622,9294
11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",121176,15124
11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",64821,20691
11001009700,"Census Tract 97, District of Columbia, District of Columbia",38365,13737
11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",38293,13165
11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",150104,18781
11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",52802,11234
11001009810,"Census Tract 98.10, District of Columbia, District of Columbia",36161,8957
11001009811,"Census Tract 98.11, District of Columbia, District of Columbia",31084,1825
11001010100,"Census Tract 101, District of Columbia, District of Columbia",94861,16089
11001010200,"Census Tract 102, District of Columbia, District of Columbia",106728,12198
11001010300,"Census Tract 103, District of Columbia, District of Columbia",94786,17704
11001010400,"Census Tract 104, District of Columbia, District of Columbia",35104,9887
11001010600,"Census Tract 106, District of Columbia, District of Columbia",115498,10688
11001010700,"Census Tract 107, District of Columbia, District of Columbia",76000,9149
11001010900,"Census Tract 109, District of Columbia, District of Columbia",36801,8070
11001011000,"Census Tract 110, District of Columbia, District of Columbia",95370,20886
11001011100,"Census Tract 111, District of Columbia, District of Columbia",80466,15716
11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",51364,18023
11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",31250,4960
11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",39492,6406
11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",32974,9349
11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",57981,19965
11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",33839,19167
11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",72019,21062
11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",45139,11332
11001000100,"Census Tract 1, District of Columbia, District of Columbia",192727,26235
11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",160282,25766
11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",138295,43726
11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",185583,17741
11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",112179,14655
11001003000,"Census Tract 30, District of Columbia, District of Columbia",97122,14517
11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",138264,26403
11001003600,"Census Tract 36, District of Columbia, District of Columbia",96759,13850
11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",103056,18496
11001000600,"Census Tract 6, District of Columbia, District of Columbia",150804,13806
11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",116435,10731
11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",147616,34211
11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",67984,11327
11001002400,"Census Tract 24, District of Columbia, District of Columbia",104457,8618
11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",98536,11524
11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",118571,20071
11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",95947,21460
11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",100392,10725
11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",113800,19829
11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",160938,99964
11001007000,"Census Tract 70, District of Columbia, District of Columbia",158229,41067
11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",94677,21016
11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",49071,9345
11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",22589,7120
11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",18185,6961
11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",40087,3676
11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",143056,36488
11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",39244,6458
11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",150735,23046
11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",49429,8076
11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",74348,20615
11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",134830,24941
11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",81883,9332
11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",35057,15077
11001009400,"Census Tract 94, District of Columbia, District of Columbia",107000,26816
11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",45455,10537
11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",37731,10628
11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",39078,16304
11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",130278,17609
11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",75515,19621
11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",36003,11074
11001000300,"Census Tract 3, District of Columbia, District of Columbia",147431,17481
11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",68961,9669
11001001500,"Census Tract 15, District of Columbia, District of Columbia",214561,21516
11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",42195,8802
11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",151656,21561
11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",103208,23208
11001003500,"Census Tract 35, District of Columbia, District of Columbia",92656,23526
11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",127938,15229
11001004400,"Census Tract 44, District of Columbia, District of Columbia",163262,22216
11001006600,"Census Tract 66, District of Columbia, District of Columbia",115417,24274
11001006700,"Census Tract 67, District of Columbia, District of Columbia",149333,23755
11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",23401,7228
11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",27885,6105
11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",51571,6599
11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",83542,11855
11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",42750,10481
11001009000,"Census Tract 90, District of Columbia, District of Columbia",48929,22541
11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",NA,NA
11001007200,"Census Tract 72, District of Columbia, District of Columbia",128328,9474
11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",14413,2077
11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",32162,7883
11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",56273,11035
11001005500,"Census Tract 55, District of Columbia, District of Columbia",107108,8040
11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",NA,NA
11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",53565,12062
11001010800,"Census Tract 108, District of Columbia, District of Columbia",41786,22174
11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",120873,14609
11001006500,"Census Tract 65, District of Columbia, District of Columbia",150694,31782
11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",154423,28910
11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",138487,30838
11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",41000,14885
11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",117625,24064
11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",85763,14202
11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",125972,29956
11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",118309,19244
11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",95238,22845
11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",59167,12676
11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",57386,26334
11001003400,"Census Tract 34, District of Columbia, District of Columbia",94706,20252
11001005800,"Census Tract 58, District of Columbia, District of Columbia",143462,8582
11001006400,"Census Tract 64, District of Columbia, District of Columbia",30676,6519
11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",36477,10533
11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",85799,19647
11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",93342,11842
11001003700,"Census Tract 37, District of Columbia, District of Columbia",76324,20684
11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",31736,4087
11001001100,"Census Tract 11, District of Columbia, District of Columbia",151250,25549
11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",73846,21879
11001004100,"Census Tract 41, District of Columbia, District of Columbia",156625,27218
11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",27414,6356
11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",NA,NA
11001003800,"Census Tract 38, District of Columbia, District of Columbia",106149,9976
11001006900,"Census Tract 69, District of Columbia, District of Columbia",174036,26529
11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",102727,18455
11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",46231,10156
11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",81917,19610
11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",103162,11653
11001003900,"Census Tract 39, District of Columbia, District of Columbia",117404,11215
11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",51750,19039
11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",54333,40229
11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",119125,13761
11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",145903,15892
11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",87394,13612
11001010500,"Census Tract 105, District of Columbia, District of Columbia",77500,17983
11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",28639,11305
11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",41324,15061
11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",90179,14639
11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",58621,14071
11001007100,"Census Tract 71, District of Columbia, District of Columbia",100863,26760
