"","County","State","GEOID","State.Code","Region","Division","giniE","HUEST","rentBurdenPerc","ownBurdenPerc"
"553","Scioto County","Ohio","39145","OH","Midwest","East North Central",0.44,34575,41.12,17.23
"554","Stark County","Ohio","39151","OH","Midwest","East North Central",0.44,167205,39.56,19.42
"555","Summit County","Ohio","39153","OH","Midwest","East North Central",0.49,246432,46.18,19.33
"556","Trumbull County","Ohio","39155","OH","Midwest","East North Central",0.47,95617,47.09,19.43
"557","Tuscarawas County","Ohio","39157","OH","Midwest","East North Central",0.42,40237,45,20.9
"558","Warren County","Ohio","39165","OH","Midwest","East North Central",0.44,89763,32.37,15.68
"559","Wayne County","Ohio","39169","OH","Midwest","East North Central",0.42,46948,36.47,17.64
"560","Wood County","Ohio","39173","OH","Midwest","East North Central",0.44,54130,39.45,18.39
"561","Miami County","Ohio","39109","OH","Midwest","East North Central",0.43,44405,47.36,15.8
"562","Jefferson County","Ohio","39081","OH","Midwest","East North Central",0.44,32408,42.32,15.7
"563","Lake County","Ohio","39085","OH","Midwest","East North Central",0.4,103493,42.09,22.94
"564","Hamilton County","Ohio","39061","OH","Midwest","East North Central",0.5,380769,47.02,21
"565","Hancock County","Ohio","39063","OH","Midwest","East North Central",0.46,34559,44.27,12.84
"566","Lucas County","Ohio","39095","OH","Midwest","East North Central",0.49,203798,44.99,21.63
"567","Mahoning County","Ohio","39099","OH","Midwest","East North Central",0.46,111236,50.22,20.65
"568","Licking County","Ohio","39089","OH","Midwest","East North Central",0.45,71200,40.62,20.87
"569","Lorain County","Ohio","39093","OH","Midwest","East North Central",0.46,132798,49.14,19.72
"570","Marion County","Ohio","39101","OH","Midwest","East North Central",0.5,27880,51.24,16.51
"571","Medina County","Ohio","39103","OH","Midwest","East North Central",0.42,73567,34.49,16.42
"572","Cleveland County","Oklahoma","40027","OK","South","West South Central",0.44,117076,46.7,18.64
"573","Comanche County","Oklahoma","40031","OK","South","West South Central",0.43,51644,42.82,15.2
"574","Canadian County","Oklahoma","40017","OK","South","West South Central",0.39,49459,35.97,17.63
"575","Oklahoma County","Oklahoma","40109","OK","South","West South Central",0.5,343971,46.07,20.89
"576","Payne County","Oklahoma","40119","OK","South","West South Central",0.49,36859,61.93,24.74
"577","Creek County","Oklahoma","40037","OK","South","West South Central",0.44,30771,30.88,25.43
"578","Muskogee County","Oklahoma","40101","OK","South","West South Central",0.51,30953,40.79,23.09
"579","Tulsa County","Oklahoma","40143","OK","South","West South Central",0.5,285858,45.5,20.84
"580","Wagoner County","Oklahoma","40145","OK","South","West South Central",0.43,33203,50.29,16.34
"581","Pottawatomie County","Oklahoma","40125","OK","South","West South Central",0.46,29945,39.9,20.74
"582","Rogers County","Oklahoma","40131","OK","South","West South Central",0.41,38965,39.08,21.1
"583","Douglas County","Oregon","41019","OR","West","Pacific",0.41,50970,39.62,27.49
"584","Jackson County","Oregon","41029","OR","West","Pacific",0.45,97266,52,29.7
"585","Benton County","Oregon","41003","OR","West","Pacific",0.45,39105,55.69,24.15
"586","Clackamas County","Oregon","41005","OR","West","Pacific",0.44,170724,58.84,26.34
"587","Deschutes County","Oregon","41017","OR","West","Pacific",0.44,92795,43.94,35.92
"588","Yamhill County","Oregon","41071","OR","West","Pacific",0.4,39899,47.95,27.41
"589","Klamath County","Oregon","41035","OR","West","Pacific",0.45,33876,40.29,25.45
"590","Lane County","Oregon","41039","OR","West","Pacific",0.47,164847,51.2,28.38
"591","Linn County","Oregon","41043","OR","West","Pacific",0.4,51398,41.12,29.64
"592","Josephine County","Oregon","41033","OR","West","Pacific",0.43,39641,57.8,45.03
"593","Multnomah County","Oregon","41051","OR","West","Pacific",0.46,359778,49.36,29.82
"594","Polk County","Oregon","41053","OR","West","Pacific",0.4,32957,50.72,26.17
"595","Umatilla County","Oregon","41059","OR","West","Pacific",0.42,30919,42,14.77
"596","Marion County","Oregon","41047","OR","West","Pacific",0.41,128622,47.27,31.76
"597","Washington County","Oregon","41067","OR","West","Pacific",0.43,234162,46.36,25.04
"598","Armstrong County","Pennsylvania","42005","PA","Northeast","Middle Atlantic",0.41,32841,31.71,19.02
"599","Beaver County","Pennsylvania","42007","PA","Northeast","Middle Atlantic",0.43,79793,45,21.07
"600","Berks County","Pennsylvania","42011","PA","Northeast","Middle Atlantic",0.43,167853,42.64,22.67
"601","Allegheny County","Pennsylvania","42003","PA","Northeast","Middle Atlantic",0.48,604258,41.27,17.87
"602","Cumberland County","Pennsylvania","42041","PA","Northeast","Middle Atlantic",0.43,107909,36.76,19.53
"603","Dauphin County","Pennsylvania","42043","PA","Northeast","Middle Atlantic",0.46,125437,43.75,24.03
"604","Delaware County","Pennsylvania","42045","PA","Northeast","Middle Atlantic",0.49,225035,47.47,28.78
"605","Blair County","Pennsylvania","42013","PA","Northeast","Middle Atlantic",0.44,57027,53.1,18.19
"606","Bucks County","Pennsylvania","42017","PA","Northeast","Middle Atlantic",0.44,252261,49.13,26.85
"607","Butler County","Pennsylvania","42019","PA","Northeast","Middle Atlantic",0.46,84873,43.63,20.75
"608","Cambria County","Pennsylvania","42021","PA","Northeast","Middle Atlantic",0.45,66047,48.45,17.21
"609","Carbon County","Pennsylvania","42025","PA","Northeast","Middle Atlantic",0.44,34883,36.33,24.53
"610","Centre County","Pennsylvania","42027","PA","Northeast","Middle Atlantic",0.47,67398,54.55,22.12
"611","Chester County","Pennsylvania","42029","PA","Northeast","Middle Atlantic",0.48,203159,44.27,22.61
"612","Clearfield County","Pennsylvania","42033","PA","Northeast","Middle Atlantic",0.4,39357,59.5,19.77
"613","Columbia County","Pennsylvania","42037","PA","Northeast","Middle Atlantic",0.45,30425,46.02,22.79
"614","Crawford County","Pennsylvania","42039","PA","Northeast","Middle Atlantic",0.41,45002,39.97,19.54
"615","Lycoming County","Pennsylvania","42081","PA","Northeast","Middle Atlantic",0.45,53642,51.23,22.57
"616","Mercer County","Pennsylvania","42085","PA","Northeast","Middle Atlantic",0.41,52408,40.65,14.45
"617","Monroe County","Pennsylvania","42089","PA","Northeast","Middle Atlantic",0.44,81829,57.67,33.32
"618","Erie County","Pennsylvania","42049","PA","Northeast","Middle Atlantic",0.45,121858,48.4,21.17
"619","Fayette County","Pennsylvania","42051","PA","Northeast","Middle Atlantic",0.48,64082,43.36,18.98
"620","Franklin County","Pennsylvania","42055","PA","Northeast","Middle Atlantic",0.4,66183,45.22,19.36
"621","Indiana County","Pennsylvania","42063","PA","Northeast","Middle Atlantic",0.44,39031,34.54,19.76
"622","Lackawanna County","Pennsylvania","42069","PA","Northeast","Middle Atlantic",0.46,100864,46.04,24.4
"623","Lancaster County","Pennsylvania","42071","PA","Northeast","Middle Atlantic",0.45,213312,47.78,26.53
"624","Lawrence County","Pennsylvania","42073","PA","Northeast","Middle Atlantic",0.45,41361,49.87,20.68
"625","Lebanon County","Pennsylvania","42075","PA","Northeast","Middle Atlantic",0.4,58254,49.63,24.22
"626","Lehigh County","Pennsylvania","42077","PA","Northeast","Middle Atlantic",0.45,147112,53.01,21.96
"627","Luzerne County","Pennsylvania","42079","PA","Northeast","Middle Atlantic",0.44,150496,42.86,22.88
"628","Adams County","Pennsylvania","42001","PA","Northeast","Middle Atlantic",0.42,42756,37.55,27.26
"629","Northampton County","Pennsylvania","42095","PA","Northeast","Middle Atlantic",0.43,123892,48.64,22.55
"630","Northumberland County","Pennsylvania","42097","PA","Northeast","Middle Atlantic",0.41,45625,35.97,22.06
"631","Philadelphia County","Pennsylvania","42101","PA","Northeast","Middle Atlantic",0.53,691633,54.74,33.5
"632","Montgomery County","Pennsylvania","42091","PA","Northeast","Middle Atlantic",0.46,338485,46.1,21.49
"633","Somerset County","Pennsylvania","42111","PA","Northeast","Middle Atlantic",0.41,38585,49.45,19.03
"634","Washington County","Pennsylvania","42125","PA","Northeast","Middle Atlantic",0.46,96616,39.27,21.02
"635","Westmoreland County","Pennsylvania","42129","PA","Northeast","Middle Atlantic",0.45,170864,45.43,17.85
"636","Schuylkill County","Pennsylvania","42107","PA","Northeast","Middle Atlantic",0.42,70013,40.33,19.33
"637","York County","Pennsylvania","42133","PA","Northeast","Middle Atlantic",0.42,185661,48.64,22.09
"638","Providence County","Rhode Island","44007","RI","Northeast","New England",0.46,266804,48.8,31.1
"639","Washington County","Rhode Island","44009","RI","Northeast","New England",0.44,64706,55.17,26.51
"640","Kent County","Rhode Island","44003","RI","Northeast","New England",0.42,74651,44.82,27.17
"641","Newport County","Rhode Island","44005","RI","Northeast","New England",0.5,42779,48.97,33.47
"642","Aiken County","South Carolina","45003","SC","South","South Atlantic",0.44,78520,56.66,22.26
"643","Lancaster County","South Carolina","45057","SC","South","South Atlantic",0.46,39578,38.39,24.45
"644","Laurens County","South Carolina","45059","SC","South","South Atlantic",0.51,31734,48.23,26.75
"645","Anderson County","South Carolina","45007","SC","South","South Atlantic",0.47,89884,41.43,16.59
"646","Beaufort County","South Carolina","45013","SC","South","South Atlantic",0.49,102705,46.6,33.36
"647","Berkeley County","South Carolina","45015","SC","South","South Atlantic",0.44,88357,46.02,23.56
"648","Charleston County","South Carolina","45019","SC","South","South Atlantic",0.49,195149,46.63,24.87
"649","Darlington County","South Carolina","45031","SC","South","South Atlantic",0.47,31013,62.88,25.33
"650","Dorchester County","South Carolina","45035","SC","South","South Atlantic",0.4,62360,47.12,26.23
"651","Florence County","South Carolina","45041","SC","South","South Atlantic",0.47,61819,45.72,23
"652","Greenville County","South Carolina","45045","SC","South","South Atlantic",0.47,218206,41.72,19.13
"653","Greenwood County","South Carolina","45047","SC","South","South Atlantic",0.48,31585,41.21,28.11
"654","Horry County","South Carolina","45051","SC","South","South Atlantic",0.43,214832,50.12,29.98
"655","Kershaw County","South Carolina","45055","SC","South","South Atlantic",0.45,29693,50.07,24.13
"656","Orangeburg County","South Carolina","45075","SC","South","South Atlantic",0.5,42938,58.08,36.67
"657","Pickens County","South Carolina","45077","SC","South","South Atlantic",0.44,55596,45.8,17.65
"658","Lexington County","South Carolina","45063","SC","South","South Atlantic",0.46,127977,51.9,21.5
"659","Oconee County","South Carolina","45073","SC","South","South Atlantic",0.5,41192,60.14,21.38
"660","Sumter County","South Carolina","45085","SC","South","South Atlantic",0.44,48613,39.43,24.21
"661","York County","South Carolina","45091","SC","South","South Atlantic",0.45,112633,44.64,17.86
"662","Richland County","South Carolina","45079","SC","South","South Atlantic",0.49,177353,52.55,23.03
"663","Spartanburg County","South Carolina","45083","SC","South","South Atlantic",0.45,134023,48.98,19.73
"664","Minnehaha County","South Dakota","46099","SD","Midwest","West North Central",0.42,85661,37.84,18.06
"665","Pennington County","South Dakota","46103","SD","Midwest","West North Central",0.45,49777,49.5,27.83
"666","Blount County","Tennessee","47009","TN","South","East South Central",0.43,58942,45.54,22.98
"667","Bradley County","Tennessee","47011","TN","South","East South Central",0.43,44532,47.01,15.01
"668","Anderson County","Tennessee","47001","TN","South","East South Central",0.44,35143,37.61,24.03
"669","Shelby County","Tennessee","47157","TN","South","East South Central",0.52,407273,52.31,24.44
"670","Sullivan County","Tennessee","47163","TN","South","East South Central",0.46,75905,45.41,20
"671","Sumner County","Tennessee","47165","TN","South","East South Central",0.44,75354,39.79,25.36
"672","Washington County","Tennessee","47179","TN","South","East South Central",0.5,61196,48.15,13.66
"673","Williamson County","Tennessee","47187","TN","South","East South Central",0.45,87541,47.03,24.14
"674","Wilson County","Tennessee","47189","TN","South","East South Central",0.42,56410,46.77,20.98
"675","Knox County","Tennessee","47093","TN","South","East South Central",0.48,210085,48.36,19.42
"676","Madison County","Tennessee","47113","TN","South","East South Central",0.43,43498,54.81,25.35
"677","Maury County","Tennessee","47119","TN","South","East South Central",0.4,39259,38.84,23.44
"678","Montgomery County","Tennessee","47125","TN","South","East South Central",0.41,84148,42.08,23.92
"679","Putnam County","Tennessee","47141","TN","South","East South Central",0.46,35344,49.86,20.15
"680","Robertson County","Tennessee","47147","TN","South","East South Central",0.42,28034,36.06,24.99
"681","Rutherford County","Tennessee","47149","TN","South","East South Central",0.4,125447,45.43,23.7
"682","Sevier County","Tennessee","47155","TN","South","East South Central",0.45,58720,41.02,27.87
"683","Hamilton County","Tennessee","47065","TN","South","East South Central",0.47,165494,48.93,23.01
"684","Davidson County","Tennessee","47037","TN","South","East South Central",0.48,325454,46.78,24.21
"685","Greene County","Tennessee","47059","TN","South","East South Central",0.46,32775,29.32,20.63
"686","Comal County","Texas","48091","TX","South","West South Central",0.44,63391,40.27,20.67
"687","Collin County","Texas","48085","TX","South","West South Central",0.43,390216,46.23,27.65
"688","Angelina County","Texas","48005","TX","South","West South Central",0.4,37250,47.85,22.24
"689","Bastrop County","Texas","48021","TX","South","West South Central",0.47,31090,55.08,40.18
"690","Bell County","Texas","48027","TX","South","West South Central",0.46,144240,49.17,25.16
"691","Bexar County","Texas","48029","TX","South","West South Central",0.46,705038,49.64,29.34
"692","Bowie County","Texas","48037","TX","South","West South Central",0.5,40202,46.47,22.19
"693","Brazoria County","Texas","48039","TX","South","West South Central",0.42,142608,46.94,22.94
"694","Brazos County","Texas","48041","TX","South","West South Central",0.5,94330,56.21,29.86
"695","Cameron County","Texas","48061","TX","South","West South Central",0.47,154019,55.11,30.76
"696","Harris County","Texas","48201","TX","South","West South Central",0.5,1818111,51.06,25.9
"697","Harrison County","Texas","48203","TX","South","West South Central",0.51,28986,43.04,11.97
"698","Coryell County","Texas","48099","TX","South","West South Central",0.43,27089,42.27,29.7
"699","Dallas County","Texas","48113","TX","South","West South Central",0.5,1041775,45.8,31.76
"700","Denton County","Texas","48121","TX","South","West South Central",0.43,329454,44.6,23.61
"701","Ector County","Texas","48135","TX","South","West South Central",0.42,59594,41.9,30.17
"702","Ellis County","Texas","48139","TX","South","West South Central",0.41,65940,55.87,21.93
"703","El Paso County","Texas","48141","TX","South","West South Central",0.45,301462,50.58,29.12
"704","Fort Bend County","Texas","48157","TX","South","West South Central",0.43,269362,49.56,26.69
"705","Galveston County","Texas","48167","TX","South","West South Central",0.45,150366,49,25.8
"706","Grayson County","Texas","48181","TX","South","West South Central",0.45,57446,46.94,31.1
"707","Gregg County","Texas","48183","TX","South","West South Central",0.47,52438,43.64,25.18
"708","Guadalupe County","Texas","48187","TX","South","West South Central",0.38,61312,35.09,23.01
"709","Montgomery County","Texas","48339","TX","South","West South Central",0.46,229697,42.63,24.53
"710","Nacogdoches County","Texas","48347","TX","South","West South Central",0.48,28608,50.51,19.13
"711","Nueces County","Texas","48355","TX","South","West South Central",0.44,150852,50.32,27.66
"712","Orange County","Texas","48361","TX","South","West South Central",0.42,38335,44.02,9.16
"713","Parker County","Texas","48367","TX","South","West South Central",0.42,51533,46.12,25.65
"714","Potter County","Texas","48375","TX","South","West South Central",0.46,50436,51.67,38.65
"715","Randall County","Texas","48381","TX","South","West South Central",0.44,55498,37.7,20.18
"716","Rockwall County","Texas","48397","TX","South","West South Central",0.4,37226,40.92,24.48
"717","San Patricio County","Texas","48409","TX","South","West South Central",0.47,28847,50.35,18.3
"718","Smith County","Texas","48423","TX","South","West South Central",0.45,91845,45.06,27.2
"719","Tarrant County","Texas","48439","TX","South","West South Central",0.46,791743,49.34,26.44
"720","Taylor County","Texas","48441","TX","South","West South Central",0.46,57952,45.47,27.35
"721","Tom Green County","Texas","48451","TX","South","West South Central",0.46,48907,47.47,20.95
"722","Travis County","Texas","48453","TX","South","West South Central",0.48,545693,45.21,28.13
"723","Victoria County","Texas","48469","TX","South","West South Central",0.46,37289,41.77,20.13
"724","Walker County","Texas","48471","TX","South","West South Central",0.44,27058,63.37,27.28
"725","Webb County","Texas","48479","TX","South","West South Central",0.45,85812,47.43,30.36
"726","Wichita County","Texas","48485","TX","South","West South Central",0.44,56200,43.95,22.07
"727","Williamson County","Texas","48491","TX","South","West South Central",0.39,205609,47.11,22.46
"728","Wise County","Texas","48497","TX","South","West South Central",0.41,25166,34.44,31.98
"729","Hunt County","Texas","48231","TX","South","West South Central",0.43,38399,46.77,26.4
"730","Jefferson County","Texas","48245","TX","South","West South Central",0.47,109133,42.33,22.24
"731","Johnson County","Texas","48251","TX","South","West South Central",0.41,63667,50.85,20.79
"732","Kaufman County","Texas","48257","TX","South","West South Central",0.39,43485,49.35,27.24
"733","Liberty County","Texas","48291","TX","South","West South Central",0.47,32718,54.32,25.03
"734","Lubbock County","Texas","48303","TX","South","West South Central",0.47,130773,51.46,22.65
"735","McLennan County","Texas","48309","TX","South","West South Central",0.46,103176,56.85,27.77
"736","Midland County","Texas","48329","TX","South","West South Central",0.45,63185,49.54,29.19
"737","Hidalgo County","Texas","48215","TX","South","West South Central",0.48,285975,51.62,32.07
"738","Hays County","Texas","48209","TX","South","West South Central",0.44,84560,60.07,21.75
"739","Henderson County","Texas","48213","TX","South","West South Central",0.49,41902,50.48,23.67
"740","Cache County","Utah","49005","UT","West","Mountain",0.42,43169,48.32,21.89
"741","Tooele County","Utah","49045","UT","West","Mountain",0.33,23163,24.19,21.08
"742","Utah County","Utah","49049","UT","West","Mountain",0.42,186554,49.47,24.32
"743","Davis County","Utah","49011","UT","West","Mountain",0.38,112482,37.91,20.9
"744","Salt Lake County","Utah","49035","UT","West","Mountain",0.43,411472,44.96,24.73
"745","Washington County","Utah","49053","UT","West","Mountain",0.46,74129,37.42,33.66
"746","Weber County","Utah","49057","UT","West","Mountain",0.4,94283,43.43,24.74
"747","Chittenden County","Vermont","50007","VT","Northeast","New England",0.44,71291,60.87,20.32
"748","Albemarle County","Virginia","51003","VA","South","South Atlantic",0.46,47081,41.95,21.71
"749","Arlington County","Virginia","51013","VA","South","South Atlantic",0.46,118880,37.79,17.69
"750","Portsmouth city","Virginia","51740","VA","South","South Atlantic",0.46,40907,46.7,30.36
"751","Prince William County","Virginia","51153","VA","South","South Atlantic",0.4,151729,50.1,30.93
"752","Roanoke County","Virginia","51161","VA","South","South Atlantic",0.43,41096,45.49,16.71
"753","Rockingham County","Virginia","51165","VA","South","South Atlantic",0.41,36163,28.95,20.16
"754","Spotsylvania County","Virginia","51177","VA","South","South Atlantic",0.41,49599,51.49,18.76
"755","Stafford County","Virginia","51179","VA","South","South Atlantic",0.37,51376,45.23,20.28
"756","York County","Virginia","51199","VA","South","South Atlantic",0.41,28522,47.52,24.43
"757","Alexandria city","Virginia","51510","VA","South","South Atlantic",0.45,76415,38.87,20.81
"758","Chesapeake city","Virginia","51550","VA","South","South Atlantic",0.43,92600,54.62,28.18
"759","Hampton city","Virginia","51650","VA","South","South Atlantic",0.44,60129,48.79,29.27
"760","Lynchburg city","Virginia","51680","VA","South","South Atlantic",0.43,32533,37.93,19.66
"761","Newport News city","Virginia","51700","VA","South","South Atlantic",0.46,77926,49.96,37
"762","Norfolk city","Virginia","51710","VA","South","South Atlantic",0.47,98455,49.35,33.16
"763","Loudoun County","Virginia","51107","VA","South","South Atlantic",0.39,139974,40.46,20.14
"764","Richmond city","Virginia","51760","VA","South","South Atlantic",0.56,101245,51.59,27.89
"765","Roanoke city","Virginia","51770","VA","South","South Atlantic",0.49,46942,50.14,26.16
"766","Suffolk city","Virginia","51800","VA","South","South Atlantic",0.43,37955,53.88,24.48
"767","Virginia Beach city","Virginia","51810","VA","South","South Atlantic",0.41,186464,43.08,29.89
"768","Bedford County","Virginia","51019","VA","South","South Atlantic",0.46,37040,48.28,18.17
"769","Chesterfield County","Virginia","51041","VA","South","South Atlantic",0.41,134267,55.47,23.91
"770","Fairfax County","Virginia","51059","VA","South","South Atlantic",0.43,416058,45.3,24.92
"771","Fauquier County","Virginia","51061","VA","South","South Atlantic",0.42,27398,43.07,28.28
"772","Frederick County","Virginia","51069","VA","South","South Atlantic",0.38,35450,32.6,14.39
"773","Hanover County","Virginia","51085","VA","South","South Atlantic",0.4,42264,45.49,22.01
"774","Henrico County","Virginia","51087","VA","South","South Atlantic",0.47,139274,51.82,21.76
"775","James City County","Virginia","51095","VA","South","South Atlantic",0.38,34135,41.38,17.08
"776","Augusta County","Virginia","51015","VA","South","South Atlantic",0.37,32851,28.36,27.42
"777","Montgomery County","Virginia","51121","VA","South","South Atlantic",0.48,41053,46.79,13.86
"778","Kitsap County","Washington","53035","WA","West","Pacific",0.4,114920,50.77,29.27
"779","Lewis County","Washington","53041","WA","West","Pacific",0.42,35686,44.61,29.58
"780","Benton County","Washington","53005","WA","West","Pacific",0.42,78624,46.15,19.78
"781","Chelan County","Washington","53007","WA","West","Pacific",0.47,38644,46.48,28.64
"782","Clallam County","Washington","53009","WA","West","Pacific",0.41,37728,43.31,26.79
"783","Clark County","Washington","53011","WA","West","Pacific",0.42,189583,49.54,28.07
"784","Cowlitz County","Washington","53015","WA","West","Pacific",0.45,45282,49.04,32.15
"785","Franklin County","Washington","53021","WA","West","Pacific",0.41,29240,46.31,26.27
"786","Grant County","Washington","53025","WA","West","Pacific",0.42,38512,42.78,25.07
"787","Grays Harbor County","Washington","53027","WA","West","Pacific",0.44,36907,42.01,31.46
"788","Island County","Washington","53029","WA","West","Pacific",0.41,42650,58.26,38.6
"789","King County","Washington","53033","WA","West","Pacific",0.47,970301,45.1,28.13
"790","Pierce County","Washington","53053","WA","West","Pacific",0.41,356273,51.02,29.81
"791","Skagit County","Washington","53057","WA","West","Pacific",0.42,54914,44.93,32.55
"792","Snohomish County","Washington","53061","WA","West","Pacific",0.41,318057,51.44,29.16
"793","Mason County","Washington","53045","WA","West","Pacific",0.42,33987,32.16,30.62
"794","Thurston County","Washington","53067","WA","West","Pacific",0.42,119558,55.93,26.1
"795","Whatcom County","Washington","53073","WA","West","Pacific",0.42,99210,51.64,33.2
"796","Yakima County","Washington","53077","WA","West","Pacific",0.43,89762,47.54,28.14
"797","Spokane County","Washington","53063","WA","West","Pacific",0.46,223079,44.54,26.86
"798","Monongalia County","West Virginia","54061","WV","South","South Atlantic",0.51,45210,53.59,18.23
"799","Raleigh County","West Virginia","54081","WV","South","South Atlantic",0.47,36148,43.47,14.84
"800","Wood County","West Virginia","54107","WV","South","South Atlantic",0.47,40283,48.57,23.54
"801","Kanawha County","West Virginia","54039","WV","South","South Atlantic",0.48,92165,40.01,20.68
"802","Harrison County","West Virginia","54033","WV","South","South Atlantic",0.42,31812,31.26,13.05
"803","Berkeley County","West Virginia","54003","WV","South","South Atlantic",0.41,50333,35.89,29.33
"804","Cabell County","West Virginia","54011","WV","South","South Atlantic",0.49,46301,59.4,17.68
"805","Marathon County","Wisconsin","55073","WI","Midwest","East North Central",0.42,59940,40.25,17.06
"806","Milwaukee County","Wisconsin","55079","WI","Midwest","East North Central",0.46,420162,47.66,24.21
"807","Outagamie County","Wisconsin","55087","WI","Midwest","East North Central",0.4,78201,34.71,16.7
"808","La Crosse County","Wisconsin","55063","WI","Midwest","East North Central",0.44,51026,44.35,22.82
"809","Manitowoc County","Wisconsin","55071","WI","Midwest","East North Central",0.41,37657,32.47,17.6
"810","Wood County","Wisconsin","55141","WI","Midwest","East North Central",0.45,35488,41.97,16.3
"811","Dane County","Wisconsin","55025","WI","Midwest","East North Central",0.44,239841,43.75,19.81
"812","Dodge County","Wisconsin","55027","WI","Midwest","East North Central",0.39,38072,37.42,26.83
"813","Ozaukee County","Wisconsin","55089","WI","Midwest","East North Central",0.47,37989,32.82,15.36
"814","Brown County","Wisconsin","55009","WI","Midwest","East North Central",0.43,111216,41.09,16.24
"815","Jefferson County","Wisconsin","55055","WI","Midwest","East North Central",0.39,36162,38.4,23.47
"816","Kenosha County","Wisconsin","55059","WI","Midwest","East North Central",0.41,70872,45.99,25.6
"817","Eau Claire County","Wisconsin","55035","WI","Midwest","East North Central",0.43,44775,38.58,19.55
"818","Fond du Lac County","Wisconsin","55039","WI","Midwest","East North Central",0.39,45556,37.37,15.57
"819","Portage County","Wisconsin","55097","WI","Midwest","East North Central",0.46,31240,39.99,16.84
"820","Racine County","Wisconsin","55101","WI","Midwest","East North Central",0.44,83140,48.24,21.95
"821","Waukesha County","Wisconsin","55133","WI","Midwest","East North Central",0.44,167953,39.66,19.33
"822","Winnebago County","Wisconsin","55139","WI","Midwest","East North Central",0.43,76303,41.01,16.52
"823","Sheboygan County","Wisconsin","55117","WI","Midwest","East North Central",0.41,51436,31.51,21.2
"824","Walworth County","Wisconsin","55127","WI","Midwest","East North Central",0.45,52946,44.03,29.7
"825","Rock County","Wisconsin","55105","WI","Midwest","East North Central",0.4,69436,43.11,24.27
"826","St. Croix County","Wisconsin","55109","WI","Midwest","East North Central",0.4,36822,49.4,24.05
"827","Washington County","Wisconsin","55131","WI","Midwest","East North Central",0.38,57523,34.14,20.07
"828","Natrona County","Wyoming","56025","WY","West","Mountain",0.41,37354,43.38,27.59
"829","Laramie County","Wyoming","56021","WY","West","Mountain",0.48,44388,48.9,20.38
